NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,COMP. MED. REHAB BEDS
ACCEL REHABILITATION HOSPITAL OF PLANO,2301 MARSH LANE SUITE 200,PLANO,TX,75093,"2301 Marsh Ln, Ste 200, Plano, TX 75093",33.030867,-96.852574,DENTON,9728995510,42
BAPTIST HOSPITALS OF SOUTHEAST TEXAS,3080 COLLEGE STREET,BEAUMONT,TX,77701,"3080 College St, Beaumont, TX 77701",30.070357,-94.11979,JEFFERSON,4092125000,15
BAPTIST MEDICAL CENTER,111 DALLAS STREET,SAN ANTONIO,TX,78205,"111 Dallas St, San Antonio, TX 78205",29.433872,-98.4923,BEXAR,2102977600,24
BAYLOR SCOTT & WHITE INSTITUTE FOR REHABILITATION,909 NORTH WASHINGTON AVENUE,DALLAS,TX,75246,"909 N Washington Ave, Dallas, TX 75246",32.791206,-96.78096,DALLAS,2148209300,92
BAYLOR SCOTT & WHITE INSTITUTE FOR REHABILITATION - FORT WORTH,6601 HARRIS PARKWAY,FORT WORTH,TX,76132,"6601 Harris Pkwy, Fort Worth, TX 76132",32.654095,-97.418274,TARRANT,8174339600,42
BAYLOR SCOTT & WHITE INSTITUTE FOR REHABILITATION - FRISCO,2990 LEGACY DRIVE,FRISCO,TX,75034,"2990 Legacy Dr, Frisco, TX 75034",33.103066,-96.840439,COLLIN,4698885100,44
BAYLOR SCOTT & WHITE INSTITUTE FOR REHABILITATION - LAKEWAY,2000 MEDICAL DRIVE,LAKEWAY,TX,78734,"2000 Medical Dr, Lakeway, TX 78734",30.345055,-97.969996,TRAVIS,5122634500,36
BAYLOR SCOTT & WHITE MEDICAL CENTER - GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,"1650 W College St, Grapevine, TX 76051",32.933873,-97.093581,TARRANT,8174811588,14
BAYLOR SCOTT & WHITE MEDICAL CENTER - HILLCREST,100 HILLCREST MEDICAL BLV,WACO,TX,76712,"120 Hillcrest Medical Blvd, Waco, TX 76712",31.487525,-97.157815,MCLENNAN,2542029414,24
BAYLOR SCOTT & WHITE MEDICAL CENTER - IRVING,1901 N MACARTHUR BLVD,IRVING,TX,75061,"1901 N Macarthur Blvd, Irving, TX 75061",32.835354,-96.961007,DALLAS,9725795409,24
