NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,ICU/CCU BEDS
ADVANCED DALLAS HOSPITALS AND CLINICS,7502 GREENVILLE,DALLAS,TX,75231,"7502 Greenville Ave, Dallas, TX 75231",32.883766,-96.758006,DALLAS,2142216000,16
ADVENTHEALTH CENTRAL TEXAS,2201 SOUTH CLEAR CREEK ROAD,KILLEEN,TX,76549,"2201 Clear Creek Rd, Killeen, TX 76549",31.113674,-97.801689,BELL,2545198165,24
ARISE AUSTIN MEDICAL CENTER,3003 BEE CAVE ROAD,AUSTIN,TX,78746,"3003 Bee Caves Rd, Austin, TX 78746",30.270957,-97.795802,TRAVIS,5123143800,2
ASCENSION PROVIDENCE,6901 MEDICAL PARKWAY,WACO,TX,76712,"6901 Medical Pkwy, Waco, TX 76712",31.514413,-97.19945,MCLENNAN,2547514000,30
ASCENSION SETON HAYS,6001 KYLE PARKWAY,KYLE,TX,78640,"6001 Kyle Pkwy, Kyle, TX 78640",30.008842,-97.852665,HAYS,5125045058,32
ASCENSION SETON HIGHLAND LAKES,3201 SOUTH WATER STREET,BURNET,TX,78611,"3201 S Water St, Burnet, TX 78611",30.732869,-98.237012,BURNET,5127153000,4
ASCENSION SETON MEDICAL CENTER AUSTIN,1201 WEST 38TH STREET,AUSTIN,TX,78705,"1201 W 38th St, Austin, TX 78705",30.304914,-97.745402,TRAVIS,5123241000,65
ASCENSION SETON NORTHWEST,11113 RESEARCH BOULEVARD,AUSTIN,TX,78759,"11113 Research Blvd, Austin, TX 78759",30.405845,-97.744736,TRAVIS,5123246900,8
ASCENSION SETON WILLIAMSON,201 SETON PARKWAY,ROUND ROCK,TX,78665,"201 Seton Pkwy, Round Rock, TX 78665",30.568164,-97.651106,WILLIAMSON,5123244000,32
ATRIUM MEDICAL CENTER LP,11929 WEST AIRPORT BOULEVARD,STAFFORD,TX,77477,"11929 W Airport Blvd, Stafford, TX 77477",29.646502,-95.587899,FORT BEND,2812078200,20
BALLINGER MEMORIAL HOSPITAL DISTRICT,608 AVENUE B,BALLINGER,TX,76821,"608 Ave B, Ballinger, TX 76821",31.75027,-99.962325,RUNNELS,3253652531,2
BAPTIST HOSPITALS OF SOUTHEAST TEXAS,3080 COLLEGE STREET,BEAUMONT,TX,77701,"3080 College St, Beaumont, TX 77701",30.070357,-94.11979,JEFFERSON,4092125000,25
BAPTIST MEDICAL CENTER,111 DALLAS STREET,SAN ANTONIO,TX,78205,"111 Dallas St, San Antonio, TX 78205",29.433872,-98.4923,BEXAR,2102977600,64
BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER - FORT WORTH,1400 8TH AVE,FORT WORTH,TX,76104,"1400 8th Ave, Fort Worth, TX 76104",32.729334,-97.345545,TARRANT,8179262544,39
BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,546 N KEGLEY RD,TEMPLE,TX,76502,"546 N Kegley Rd, Temple, TX 76502",31.11812,-97.399072,BELL,2542150900,10
BAYLOR SCOTT & WHITE MCLANE CHILDRENS MEDICAL CENTER,1901 SW H K DODGEN LOOP,TEMPLE,TX,76502,"1901 SW H K Dodgen Loop, Temple, TX 76502",31.07269,-97.374193,BELL,2547718600,16
BAYLOR SCOTT & WHITE MEDICAL CENTER - AUSTIN,5245 W HIGHWAY 290,AUSTIN,TX,78735,"5245 W Hwy 290, Austin, TX 78735",30.236887,-97.833148,TRAVIS,5126542100,25
BAYLOR SCOTT & WHITE MEDICAL CENTER - BRENHAM,700 MEDICAL PKWY,BRENHAM,TX,77833,"700 Medical Pkwy, Brenham, TX 77833",30.145685,-96.398899,WASHINGTON,9793375000,5
BAYLOR SCOTT & WHITE MEDICAL CENTER - BUDA,5330 OVERPASS RD STE 110,BUDA,TX,78610,"5330 Overpass Rd, Ste 110, Buda, TX 78610",30.076348,-97.819801,HAYS,7379996200,15
BAYLOR SCOTT & WHITE MEDICAL CENTER - CENTENNIAL,12505 LEBANON RD,FRISCO,TX,75035,"12505 Lebanon Rd, Frisco, TX 75035",33.11431,-96.770669,COLLIN,4697648000,12
BAYLOR SCOTT & WHITE MEDICAL CENTER - COLLEGE STATION,700 SCOTT AND WHITE DR,COLLEGE STATION,TX,77845,"College Station, TX 77845",30.579234,-96.293826,BRAZOS,9792070100,16
