NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,LDRP BEDS
ASCENSION PROVIDENCE,6901 MEDICAL PARKWAY,WACO,TX,76712,"6901 Medical Pkwy, Waco, TX 76712",31.514413,-97.19945,MCLENNAN,2547514000,2
ASCENSION SETON NORTHWEST,11113 RESEARCH BOULEVARD,AUSTIN,TX,78759,"11113 Research Blvd, Austin, TX 78759",30.405845,-97.744736,TRAVIS,5123246900,11
BAYLOR SCOTT & WHITE MEDICAL CENTER - GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,"1650 W College St, Grapevine, TX 76051",32.933873,-97.093581,TARRANT,8174811588,13
BAYLOR SCOTT & WHITE MEDICAL CENTER - IRVING,1901 N MACARTHUR BLVD,IRVING,TX,75061,"1901 N Macarthur Blvd, Irving, TX 75061",32.835354,-96.961007,DALLAS,9725795409,23
BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK,300 UNIVERSITY BLVD,ROUND ROCK,TX,78665,"300 University Blvd, Round Rock, TX 78665",30.563383,-97.685004,WILLIAMSON,5125090100,10
BAYLOR SCOTT & WHITE MEDICAL CENTER - WAXAHACHIE,2400 N IH 35 E,WAXAHACHIE,TX,75165,"2400 N I-35 E, Waxahachie, TX 75165",32.427936,-96.858089,ELLIS,4698434000,6
BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVENUE,DALLAS,TX,75246,"3500 Gaston Ave, Dallas, TX 75246",32.790908,-96.779474,DALLAS,2148200111,5
BROWNFIELD REGIONAL MEDICAL CENTER,705 E FELT ST,BROWNFIELD,TX,79316,"705 E Felt St, Brownfield, TX 79316",33.187643,-102.267155,TERRY,8066373551,3
BSA HOSPITAL LLC,1600 WALLACE BLVD,AMARILLO,TX,79106,"1600 Wallace Blvd, Amarillo, TX 79106",35.196207,-101.919999,POTTER,8062122000,20
CARROLLTON REGIONAL MEDICAL CENTER,4343 NORTH JOSEY LANE,CARROLLTON,TX,75010,"4343 N Josey Ln, Carrollton, TX 75010",33.028804,-96.885247,DENTON,9724921010,11
CHI ST JOSEPH HEALTH - COLLEGE STATION HOSPITAL,1604 ROCK PRAIRIE ROAD,COLLEGE STATION,TX,77845,"1604 Rock Prairie Rd, College Station, TX 77845",30.582589,-96.290119,BRAZOS,9797645100,10
CHI ST LUKES HEALTH - BRAZOSPORT,100 MEDICAL DRIVE,LAKE JACKSON,TX,77566,"100 Medical Dr, Lake Jackson, TX 77566",29.03185,-95.452534,BRAZORIA,9792974411,10
CHI ST LUKES HEALTH - MEMORIAL LIVINGSTON,1717 HIGHWAY 59 BYPASS,LIVINGSTON,TX,77351,"1717 US Highway 59th Loop N, Livingston, TX 77351",30.729937,-94.938594,POLK,9363298700,3
CHI ST LUKES HEALTH MEMORIAL LUFKIN,1201 W FRANK AVE,LUFKIN,TX,75904,"1201 W Frank Ave, Lufkin, TX 75904",31.336811,-94.743638,ANGELINA,9366348111,12
CHILDRESS REGIONAL MEDICAL CENTER,901 US HIGHWAY 83 N,CHILDRESS,TX,79201,"901 US Hwy 83, Childress, TX 79201",34.439116,-100.226626,CHILDRESS,9409376371,6
CHRISTUS CHILDRENS,333 NORTH SANTA ROSA STREET,SAN ANTONIO,TX,78207,"333 N Santa Rosa St, San Antonio, TX 78207",29.428136,-98.497912,BEXAR,2107042317,16
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - LONGVIEW,700 E MARSHALL AVENUE,LONGVIEW,TX,75601,"700 E Marshall Ave, Longview, TX 75601",32.500863,-94.730171,GREGG,9033151811,7
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - MARSHALL,811 SOUTH WASHINGTON,MARSHALL,TX,75670,"811 S Washington Ave, Marshall, TX 75670",32.536564,-94.367794,HARRISON,9039276000,5
CHRISTUS MOTHER FRANCES HOSPITAL - SULPHUR SPRINGS,115 AIRPORT ROAD,SULPHUR SPRINGS,TX,75482,"115 Airport Rd, Sulphur Springs, TX 75482",33.157301,-95.599927,HOPKINS,9034394052,12
CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,800 EAST DAWSON,TYLER,TX,75701,"800 E Dawson St, Tyler, TX 75701",32.342624,-95.291902,SMITH,9035315400,13
CHRISTUS SANTA ROSA HOSPITAL - NEW BRAUNFELS,600 NORTH UNION AVENUE,NEW BRAUNFELS,TX,78130,"600 N Union Ave, New Braunfels, TX 78130",29.715466,-98.123258,COMAL,8306062170,7
CHRISTUS SANTA ROSA HOSPITAL - WESTOVER HILLS,11212 STATE HIGHWAY 151,SAN ANTONIO,TX,78251,"11212 State Hwy 151, San Antonio, TX 78251",29.466852,-98.695949,BEXAR,2107038000,2
CHRISTUS SOUTHEAST TEXAS - JASPER MEMORIAL,1275 MARVIN HANCOCK DR,JASPER,TX,75951,"1275 Marvin Hancock Dr, Jasper, TX 75951",30.907546,-94.008358,JASPER,4093845461,4
CHRISTUS SOUTHEAST TEXAS - ST ELIZABETH,2830 CALDER ST,BEAUMONT,TX,77702,"2830 Calder Ave, Beaumont, TX 77702",30.086619,-94.131292,JEFFERSON,4092367107,19
CHRISTUS SPOHN HOSPITAL ALICE,2500 EAST MAIN STREET,ALICE,TX,78332,"2500 E Main St, Alice, TX 78332",27.764759,-98.044822,JIM WELLS,3616618015,8
CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 EAST HOUSTON HIGHWAY,BEEVILLE,TX,78102,"1500 E Houston St, Beeville, TX 78102",28.407802,-97.73283,BEE,3613542125,9
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SOUTH,5950 SARATOGA BOULEVARD,CORPUS CHRISTI,TX,78414,"5950 Saratoga Blvd, Corpus Christi, TX 78414",27.681949,-97.376406,NUECES,3619855103,17
CHRISTUS SPOHN HOSPITAL KLEBERG,1311 EAST GENERAL CAVAZOS BOULEVARD,KINGSVILLE,TX,78363,"1311 E General Cavazos Blvd, Kingsville, TX 78363",27.491359,-97.851487,KLEBERG,3615951661,8
CHRISTUS ST MICHAEL HEALTH SYSTEM,2600 ST MICHAEL DRIVE,TEXARKANA,TX,75503,"2600 St Michael Dr, Texarkana, TX 75503",33.464014,-94.075579,BOWIE,9036142211,16
CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,"2701 Hospital Dr, Victoria, TX 77901",28.81309,-96.977678,VICTORIA,3615739181,11
COGDELL MEMORIAL HOSPITAL,1700 COGDELL BLVD,SNYDER,TX,79549,"1700 Cogdell Blvd, Snyder, TX 79549",32.688155,-100.917495,SCURRY,3255747437,5
COLUMBUS COMMUNITY HOSPITAL,110 SHULT DR,COLUMBUS,TX,78934,"110 Shult Dr, Columbus, TX 78934",29.694369,-96.54299,COLORADO,9797322371,6
CORPUS CHRISTI MEDICAL CENTER BAY AREA,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78412,"7101 S Padre Island Dr, Corpus Christi, TX 78412",27.69334,-97.341648,NUECES,3617611200,12
CORPUS CHRISTI MEDICAL CENTER DOCTORS REGIONAL,3315 SOUTH ALAMEDA,CORPUS CHRISTI,TX,78411,"3315 S Alameda St, Corpus Christi, TX 78411",27.754109,-97.38838,NUECES,3617611400,15
COVENANT HOSPITAL PLAINVIEW,2601 DIMMIT ROAD,PLAINVIEW,TX,79072,"2601 Dimmitt Rd, Plainview, TX 79072",34.206722,-101.731042,HALE,8062964265,6
CROCKETT MEDICAL CENTER,1100 E LOOP 304,CROCKETT,TX,75835,"1100 E Loop 304, Crockett, TX 75835",31.324808,-95.438246,HOUSTON,9365463891,5
CUERO REGIONAL HOSPITAL,2550 NORTH ESPLANADE,CUERO,TX,77954,"2550 N Esplanade St, Cuero, TX 77954",29.112742,-97.283053,DE WITT,3612756191,3
DALLAS REGIONAL MEDICAL CENTER,1011 NORTH GALLOWAY AVE,MESQUITE,TX,75149,"1011 N Galloway Ave, Mesquite, TX 75149",32.778628,-96.60129,DALLAS,2143207787,10
DEL SOL MEDICAL CENTER A CAMPUS OF LPDS HEALTHCARE,10301 GATEWAY BOULEVARD WEST,EL PASO,TX,79925,"10301 Gateway Blvd W, El Paso, TX 79925",31.756644,-106.351462,EL PASO,9155959000,11
DELL CHILDRENS MEDICAL CENTER,4900 MUELLER BLVD,AUSTIN,TX,78723,"4900 Mueller Blvd, Austin, TX 78723",30.303505,-97.706219,TRAVIS,5123240101,5
DETAR HEALTHCARE SYSTEM,101 MEDICAL DRIVE,VICTORIA,TX,77904,"101 Medical Dr, Victoria, TX 77904",28.854217,-97.019618,VICTORIA,3615736100,13
FAITH COMMUNITY HOSPITAL,215 CHISHOLM TRAIL,JACKSBORO,TX,76458,"215 Chisholm Trl, Jacksboro, TX 76458",33.230748,-98.166978,JACK,9405676633,4
GOLDEN PLAINS COMMUNITY HOSPITAL,100 MEDICAL DRIVE,BORGER,TX,79007,"100 Medical Dr, Borger, TX 79007",35.65535,-101.408888,HUTCHINSON,8064675700,4
GUADALUPE REGIONAL MEDICAL CENTER,1215 EAST COURT STREET,SEGUIN,TX,78155,"1215 E Court St, Seguin, TX 78155",29.567935,-97.947397,GUADALUPE,8303792411,4
HCA HOUSTON HEALTHCARE MAINLAND,6801 EMMETT F LOWERY EXPRESSWAY,TEXAS CITY,TX,77591,"6801 Emmett F Lowry Expy, Texas City, TX 77591",29.393783,-94.986295,GALVESTON,4099385000,4
HCA HOUSTON HEALTHCARE SOUTHEAST,4000 SPENCER HIGHWAY,PASADENA,TX,77504,"4000 Spencer Hwy, Pasadena, TX 77504",29.661171,-95.183755,HARRIS,7133592000,10
HCA HOUSTON HEALTHCARE TOMBALL,605 HOLDERRIETH BOULEVARD,TOMBALL,TX,77375,"605 Holderrieth Blvd, Tomball, TX 77375",30.0874,-95.620728,HARRIS,2814017500,11
HENDRICK MEDICAL CENTER BROWNWOOD,1501 BURNETT RD,BROWNWOOD,TX,76801,"1501 Burnett Rd, Brownwood, TX 76801",31.678089,-98.99369,BROWN,3256493300,4
HENDRICK MEDICAL CENTER SOUTH,6250 US HIGHWAY 83,ABILENE,TX,79606,"6254 US Hwy 83, Winters, TX 79567",31.908644,-99.966048,TAYLOR,3254281010,10
HEREFORD REGIONAL MEDICAL CENTER,540 WEST 15TH STREET,HEREFORD,TX,79045,"540 W 15th St, Hereford, TX 79045",34.838958,-102.413712,DEAF SMITH,8063642141,6
HOUSTON METHODIST BAYTOWN HOSPITAL,4401 GARTH RD,BAYTOWN,TX,77521,"4401 Garth Rd, Baytown, TX 77521",29.769072,-94.979045,HARRIS,2814208600,18
HOUSTON METHODIST CLEAR LAKE HOSPITAL,18300 HOUSTON METHODIST DR,HOUSTON,TX,77058,"Houston, TX 77058",29.571604,-95.099828,HARRIS,2813338865,19
HOUSTON METHODIST HOSPITAL,6565 FANNIN ST,HOUSTON,TX,77030,"6565 Fannin St, Houston, TX 77030",29.709033,-95.400335,HARRIS,7137903311,22
HOUSTON METHODIST THE WOODLANDS HOSPITAL,17201 I-45 SOUTH,THE WOODLANDS,TX,77385,"17201 I-45 S, Shenandoah, TX 77385",30.205188,-95.451727,MONTGOMERY,9362702000,12
HOUSTON METHODIST WEST HOSPITAL,18500 KATY FWY,HOUSTON,TX,77094,"18500 Katy Fwy, Houston, TX 77094",29.787208,-95.697905,HARRIS,8325221000,1
HOUSTON METHODIST WILLOWBROOK HOSPITAL,18220 STATE HIGHWAY 249,HOUSTON,TX,77070,"18220 Tomball Pkwy, Houston, TX 77070",29.966597,-95.551132,HARRIS,2817371000,10
HUNT REGIONAL HEALTHCARE,4215 JOE RAMSEY BOULEVARD,GREENVILLE,TX,75401,"4215 Joe Ramsey Blvd, Greenville, TX 75401",33.122487,-96.123918,HUNT,9034085000,10
HUNTSVILLE MEMORIAL HOSPITAL,110 MEMORIAL HOSPITAL DRIVE,HUNTSVILLE,TX,77340,"110 Memorial Hospital Dr, Huntsville, TX 77340",30.698734,-95.558982,WALKER,9362913411,5
JOHN PETER SMITH HOSPITAL,1500 S MAIN ST,FORT WORTH,TX,76104,"1500 S Main St, Fort Worth, TX 76104",32.726819,-97.328127,TARRANT,8179213431,4
KNAPP MEDICAL CENTER,1401 EAST EIGHTH STREET,WESLACO,TX,78596,"1401 E 8th St, Weslaco, TX 78596",26.152119,-97.97749,HIDALGO,9569688567,7
