NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,MED/SURG BEDS
AD HOSPITAL EAST LLC,12950 EAST FREEWAY SUITE 100,HOUSTON,TX,77015,"12950 East Fwy, Ste 100, Houston, TX 77015",29.770566,-95.200479,HARRIS,7133303887,4
ADVANCED DALLAS HOSPITALS AND CLINICS,7502 GREENVILLE,DALLAS,TX,75231,"7502 Greenville Ave, Dallas, TX 75231",32.883766,-96.758006,DALLAS,2142216000,84
ADVENTHEALTH CENTRAL TEXAS,2201 SOUTH CLEAR CREEK ROAD,KILLEEN,TX,76549,"2201 Clear Creek Rd, Killeen, TX 76549",31.113674,-97.801689,BELL,2545198165,101
ADVENTHEALTH ROLLINS BROOK,608 NORTH KEY AVENUE,LAMPASAS,TX,76550,"608 N Key Ave, Lampasas, TX 76550",31.072285,-98.18621,LAMPASAS,5125563682,25
"ALTUS BAYTOWN HOSPITAL, BAYTOWN MEDICAL CENTER",1626 W BAKER RD,BAYTOWN,TX,77521,"1626 W Baker Rd, Baytown, TX 77521",29.771519,-94.981357,HARRIS,2818377600,14
"ALTUS HOUSTON HOSPITAL, CELESTIAL HOSPITAL, ODYSSEY HOSPITAL",6011 W SAM HOUSTON PKWY SOUTH,HOUSTON,TX,77072,"6011 W Sam Houston S Pkwy, Houston, TX 77036",29.711485,-95.556391,HARRIS,7137730556,10
ANSON GENERAL HOSPITAL,101 AVENUE J,ANSON,TX,79501,"101 Ave J, Anson, TX 79501",32.767496,-99.895326,JONES,3258233231,45
ARISE AUSTIN MEDICAL CENTER,3003 BEE CAVE ROAD,AUSTIN,TX,78746,"3003 Bee Caves Rd, Austin, TX 78746",30.270957,-97.795802,TRAVIS,5123143800,17
ASCENSION PROVIDENCE,6901 MEDICAL PARKWAY,WACO,TX,76712,"6901 Medical Pkwy, Waco, TX 76712",31.514413,-97.19945,MCLENNAN,2547514000,180
ASCENSION SETON BASTROP,630 W SH 71,BASTROP,TX,78602,"630 W Sh 71, Bastrop, TX 78602",30.108217,-97.344873,BASTROP,7378817400,7
ASCENSION SETON EDGAR B DAVIS,130 HAYS STREET,LULING,TX,78648,"130 Hays St, Luling, TX 78648",29.673147,-97.654509,CALDWELL,8308757000,24
ASCENSION SETON HAYS,6001 KYLE PARKWAY,KYLE,TX,78640,"6001 Kyle Pkwy, Kyle, TX 78640",30.008842,-97.852665,HAYS,5125045058,94
ASCENSION SETON HIGHLAND LAKES,3201 SOUTH WATER STREET,BURNET,TX,78611,"3201 S Water St, Burnet, TX 78611",30.732869,-98.237012,BURNET,5127153000,21
ASCENSION SETON MEDICAL CENTER AUSTIN,1201 WEST 38TH STREET,AUSTIN,TX,78705,"1201 W 38th St, Austin, TX 78705",30.304914,-97.745402,TRAVIS,5123241000,327
ASCENSION SETON NORTHWEST,11113 RESEARCH BOULEVARD,AUSTIN,TX,78759,"11113 Research Blvd, Austin, TX 78759",30.405845,-97.744736,TRAVIS,5123246900,61
ASCENSION SETON SMITHVILLE,1201 HILL ROAD,SMITHVILLE,TX,78957,"1201 Hill Rd, Smithville, TX 78957",30.003626,-97.136637,BASTROP,5122373214,8
ASCENSION SETON SOUTHWEST,7900 FM 1826,AUSTIN,TX,78737,"7900 Farm To Market Rd 1826, Austin, TX 78737",30.228397,-97.888773,TRAVIS,5123249000,28
ASCENSION SETON WILLIAMSON,201 SETON PARKWAY,ROUND ROCK,TX,78665,"201 Seton Pkwy, Round Rock, TX 78665",30.568164,-97.651106,WILLIAMSON,5123244000,109
ASPIRE HOSPITAL LLC,2006 SOUTH LOOP 336 WEST SUITE 500,CONROE,TX,77304,"2006 S Loop 336 W, Ste 500, Conroe, TX 77304",30.284555,-95.480264,MONTGOMERY,9366473500,6
ATRIUM MEDICAL CENTER LP,11929 WEST AIRPORT BOULEVARD,STAFFORD,TX,77477,"11929 W Airport Blvd, Stafford, TX 77477",29.646502,-95.587899,FORT BEND,2812078200,48
BALLINGER MEMORIAL HOSPITAL DISTRICT,608 AVENUE B,BALLINGER,TX,76821,"608 Ave B, Ballinger, TX 76821",31.75027,-99.962325,RUNNELS,3253652531,23
BAPTIST HOSPITALS OF SOUTHEAST TEXAS,3080 COLLEGE STREET,BEAUMONT,TX,77701,"3080 College St, Beaumont, TX 77701",30.070357,-94.11979,JEFFERSON,4092125000,249
BAPTIST MEDICAL CENTER,111 DALLAS STREET,SAN ANTONIO,TX,78205,"111 Dallas St, San Antonio, TX 78205",29.433872,-98.4923,BEXAR,2102977600,469
BAPTIST NEIGHBORHOOD HOSPITAL HAUSMAN,8230 NORTH 1604 WEST,SAN ANTONIO,TX,78249,"8230 N 1604 W, San Antonio, TX 78249",29.570888,-98.648916,BEXAR,2105728885,8
BAPTIST NEIGHBORHOOD HOSPITAL KELLY,806 CUPPLES ROAD,SAN ANTONIO,TX,78237,"806 Cupples Rd, San Antonio, TX 78237",29.402572,-98.547778,BEXAR,7268002040,8
BAPTIST NEIGHBORHOOD HOSPITAL OVERLOOK PARKWAY,25615 NORTH US HIGHWAY 281,SAN ANTONIO,TX,78258,"25615 N US Hwy 281, San Antonio, TX 78258",29.680807,-98.454869,BEXAR,2105722911,8
BAPTIST NEIGHBORHOOD HOSPITAL SCHERTZ PARKWAY,16977 I-35 NORTH,SCHERTZ,TX,78154,"16977 I-35 N, Schertz, TX 78154",29.594297,-98.290039,GUADALUPE,2105718400,8
BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,16088 SAN PEDRO,SAN ANTONIO,TX,78232,"16088 San Pedro Ave, San Antonio, TX 78232",29.589029,-98.474208,BEXAR,2104024092,10
BAPTIST NEIGHBORHOOD HOSPITAL WESTOVER HILLS,10811 TOWN CENTER DRIVE,SAN ANTONIO,TX,78251,"10811 Town Center Dr, San Antonio, TX 78251",29.461515,-98.689878,BEXAR,2105720911,8
BAPTIST NEIGHBORHOOD HOSPITAL ZARZAMORA,7719 IH 35 SOUTH,SAN ANTONIO,TX,78224,"7719 S I-35, San Antonio, TX 78224",29.352308,-98.533415,BEXAR,2105722955,8
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL MANSFIELD,1776 NORTH US 287 SUITE 100,MANSFIELD,TX,76063,"1776 N US 287, Ste 100, Mansfield, TX 76063",32.597038,-97.144986,TARRANT,2142946300,8
BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER - FORT WORTH,1400 8TH AVE,FORT WORTH,TX,76104,"1400 8th Ave, Fort Worth, TX 76104",32.729334,-97.345545,TARRANT,8179262544,344
BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,546 N KEGLEY RD,TEMPLE,TX,76502,"546 N Kegley Rd, Temple, TX 76502",31.11812,-97.399072,BELL,2542150900,15
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL AUBREY,26791 HIGHWAY 380,AUBREY,TX,76227,"US Hwy 380, Aubrey, TX 76227",33.225662,-96.987747,DENTON,9723472525,6
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL BURLESON,12500 SOUTH FREEWAY SUITE 100,BURLESON,TX,76028,"12500 South Fwy, Ste 100, Burleson, TX 76028",32.575626,-97.321224,TARRANT,2142946250,8
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL COLLEYVILLE,5500 COLLEYVILLE BOULEVARD,COLLEYVILLE,TX,76034,"5500 Colleyville Blvd, Colleyville, TX 76034",32.888758,-97.15109,TARRANT,2142946350,8
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL GRAND PRAIRIE,3095 KINGSWOOD BOULEVARD SUITE 100,GRAND PRAIRIE,TX,75052,"3095 Kingswood Blvd, Ste 100, Grand Prairie, TX 75052",32.660732,-97.06108,TARRANT,9728540009,8
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL KELLER,620 SOUTH MAIN SUITE 100,KELLER,TX,76248,"620 S Main St, Ste 100, Keller, TX 76248",32.927866,-97.254691,TARRANT,2142946100,8
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL MURPHY,511 FM 544 SUITE 100,MURPHY,TX,75094,"511 E FM 544, Ste 100, Murphy, TX 75094",33.012221,-96.624278,COLLIN,2142946150,8
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL ROCKWALL,1975 ALPHA SUITE 100,ROCKWALL,TX,75087,"1975 Alpha Dr, Ste 100, Rockwall, TX 75087",32.913937,-96.444983,ROCKWALL,2142946200,8
BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER - CEDAR PARK,900 E WHITESTONE BLVD,CEDAR PARK,TX,78613,"900 E Whitestone Blvd, Cedar Park, TX 78613",30.523333,-97.819892,WILLIAMSON,5126844000,8
BAYLOR SCOTT & WHITE HEART AND VASCULAR HOSPITAL - DALLAS,621 NORTH HALL STREET,DALLAS,TX,75226,"621 N Hall St, Dallas, TX 75226",32.788028,-96.781616,DALLAS,2148200600,39
BAYLOR SCOTT & WHITE MEDICAL CENTER - BRENHAM,700 MEDICAL PKWY,BRENHAM,TX,77833,"700 Medical Pkwy, Brenham, TX 77833",30.145685,-96.398899,WASHINGTON,9793375000,55
BAYLOR SCOTT & WHITE MEDICAL CENTER - CENTENNIAL,12505 LEBANON RD,FRISCO,TX,75035,"12505 Lebanon Rd, Frisco, TX 75035",33.11431,-96.770669,COLLIN,4697648000,72
BAYLOR SCOTT & WHITE MEDICAL CENTER - COLLEGE STATION,700 SCOTT AND WHITE DR,COLLEGE STATION,TX,77845,"College Station, TX 77845",30.579234,-96.293826,BRAZOS,9792070100,77
BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO,5601 WARREN PARKWAY,FRISCO,TX,75034,"5601 Warren Pkwy, Frisco, TX 75034",33.10504,-96.837987,COLLIN,2144075000,45
BAYLOR SCOTT & WHITE MEDICAL CENTER - GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,"1650 W College St, Grapevine, TX 76051",32.933873,-97.093581,TARRANT,8174811588,159
BAYLOR SCOTT & WHITE MEDICAL CENTER - HILLCREST,100 HILLCREST MEDICAL BLV,WACO,TX,76712,"120 Hillcrest Medical Blvd, Waco, TX 76712",31.487525,-97.157815,MCLENNAN,2542029414,96
BAYLOR SCOTT & WHITE MEDICAL CENTER - IRVING,1901 N MACARTHUR BLVD,IRVING,TX,75061,"1901 N Macarthur Blvd, Irving, TX 75061",32.835354,-96.961007,DALLAS,9725795409,208
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE,6800 SCENIC DR,ROWLETT,TX,75088,"6800 Scenic Dr, Rowlett, TX 75088",32.917635,-96.508664,ROCKWALL,9725208000,100
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKEWAY,100 MEDICAL PKWY,LAKEWAY,TX,78738,"100 Medical Pkwy, Lakeway, TX 78738",30.332918,-97.971449,TRAVIS,5126545000,64
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,810 W HIGHWAY 71,MARBLE FALLS,TX,78654,"810 W Sh 71, Marble Falls, TX 78654",30.512921,-98.304593,BURNET,8302018000,30
BAYLOR SCOTT & WHITE MEDICAL CENTER - MCKINNEY,5252 W UNIVERSITY DR,MCKINNEY,TX,75071,"5252 W University Dr, McKinney, TX 75071",33.221085,-96.682581,COLLIN,4697642200,112
BAYLOR SCOTT & WHITE MEDICAL CENTER - PLANO,4700 ALLIANCE BLVD,PLANO,TX,75093,"4700 Alliance Blvd, Plano, TX 75093",33.013583,-96.788231,COLLIN,4698143176,128
BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK,300 UNIVERSITY BLVD,ROUND ROCK,TX,78665,"300 University Blvd, Round Rock, TX 78665",30.563383,-97.685004,WILLIAMSON,5125090100,58
BAYLOR SCOTT & WHITE MEDICAL CENTER - SUNNYVALE,231 SOUTH COLLINS ROAD,SUNNYVALE,TX,75182,"231 S Collins Rd, Sunnyvale, TX 75182",32.779137,-96.568943,DALLAS,9728923000,62
