NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,UNIVERSAL CARE BEDS
ASCENSION SETON WILLIAMSON,201 SETON PARKWAY,ROUND ROCK,TX,78665,"201 Seton Pkwy, Round Rock, TX 78665",30.568164,-97.651106,WILLIAMSON,5123244000,16
BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL AUBREY,26791 HIGHWAY 380,AUBREY,TX,76227,"US Hwy 380, Aubrey, TX 76227",33.225662,-96.987747,DENTON,9723472525,2
BAYLOR SCOTT & WHITE HEART AND VASCULAR HOSPITAL - DALLAS,621 NORTH HALL STREET,DALLAS,TX,75226,"621 N Hall St, Dallas, TX 75226",32.788028,-96.781616,DALLAS,2148200600,20
BAYLOR SCOTT & WHITE MEDICAL CENTER - GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,"1650 W College St, Grapevine, TX 76051",32.933873,-97.093581,TARRANT,8174811588,36
BAYLOR SCOTT & WHITE MEDICAL CENTER - PFLUGERVILLE,2600 E PFLUGERVILLE PKWY STE 100,PFLUGERVILLE,TX,78660,"2600 E Pflugerville Pkwy, Ste 100, Pflugerville, TX 78660",30.451532,-97.591104,TRAVIS,5126546100,25
BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE,2401 S 31ST ST,TEMPLE,TX,76508,"2401 S 31st St, Temple, TX 76504",31.077709,-97.363854,BELL,2547242111,32
BAYLOR SCOTT & WHITE THE HEART HOSPITAL - DENTON,2801 SOUTH MAYHILL RD,DENTON,TX,76208,"2801 S Mayhill Rd, Denton, TX 76208",33.176491,-97.087354,DENTON,9402200600,9
BAYLOR SCOTT & WHITE THE HEART HOSPITAL - MCKINNEY,5268 W UNIVERSITY DR,MCKINNEY,TX,75071,"5268 W University Dr, McKinney, TX 75071",33.221346,-96.683342,COLLIN,4698143511,2
BAYLOR SCOTT & WHITE THE HEART HOSPITAL - PLANO,1100 ALLIED DR,PLANO,TX,75093,"1100 Allied Dr, Plano, TX 75093",33.015728,-96.790313,COLLIN,4698143500,105
BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVENUE,DALLAS,TX,75246,"3500 Gaston Ave, Dallas, TX 75246",32.790908,-96.779474,DALLAS,2148200111,137
CHILDRENS MEDICAL CENTER OF DALLAS,1935 MEDICAL DISTRICT DRIVE,DALLAS,TX,75235,"1935 Medical District Dr, Dallas, TX 75235",32.808994,-96.837745,DALLAS,2144568339,48
CHILDRENS MEDICAL CENTER PLANO,7601 PRESTON ROAD,PLANO,TX,75024,"7609 Preston Rd, Plano, TX 75024",33.078625,-96.800898,COLLIN,4693037000,60
CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,800 EAST DAWSON,TYLER,TX,75701,"800 E Dawson St, Tyler, TX 75701",32.342624,-95.291902,SMITH,9035315400,24
COOK CHILDRENS MEDICAL CENTER - PROSPER,4100 W UNIVERSITY DRIVE,PROSPER,TX,75078,"4100 W University Dr, Prosper, TX 75078",33.22065,-96.86949,DENTON,9452044100,24
DELL CHILDRENS MEDICAL CENTER,4900 MUELLER BLVD,AUSTIN,TX,78723,"4900 Mueller Blvd, Austin, TX 78723",30.303505,-97.706219,TRAVIS,5123240101,48
DELL CHILDRENS MEDICAL CENTER NORTH CAMPUS,9010 N LAKE CREEK PARKWAY,AUSTIN,TX,78717,"9010 N Lake Creek Pkwy, Austin, TX 78717",30.486558,-97.801954,WILLIAMSON,5123240000,36
DELL SETON MEDICAL CENTER AT THE UNIVERSITY OF TEXAS,1500 RED RIVER STREET,AUSTIN,TX,78701,"1500 Red River St, Austin, TX 78701",30.276438,-97.734383,TRAVIS,5123247000,60
HCA HOUSTON HEALTHCARE NORTH CYPRESS,21214 NORTHWEST FREEWAY,CYPRESS,TX,77429,"21214 Northwest Fwy, Cypress, TX 77429",29.927665,-95.632202,HARRIS,8329123500,24
HCA HOUSTON HEALTHCARE PEARLAND,11100 SHADOW CREEK PARKWAY,PEARLAND,TX,77584,"11100 Shadow Creek Pkwy, Pearland, TX 77584",29.577963,-95.390876,BRAZORIA,7137707100,8
HCA HOUSTON HEALTHCARE WEST,12141 RICHMOND AVENUE,HOUSTON,TX,77082,"12141 Richmond Ave, Houston, TX 77082",29.729197,-95.594442,HARRIS,2815583444,14
HEART OF TEXAS HEALTHCARE SYSTEM,2008 NINE ROAD,BRADY,TX,76825,"2008 9th Rd, Brady, TX 76825",31.117865,-99.346768,MCCULLOCH,3255972901,4
HOUSTON METHODIST HOSPITAL,6565 FANNIN ST,HOUSTON,TX,77030,"6565 Fannin St, Houston, TX 77030",29.709033,-95.400335,HARRIS,7137903311,55
HOUSTON METHODIST WILLOWBROOK HOSPITAL,18220 STATE HIGHWAY 249,HOUSTON,TX,77070,"18220 Tomball Pkwy, Houston, TX 77070",29.966597,-95.551132,HARRIS,2817371000,72
JOHN PETER SMITH HOSPITAL,1500 S MAIN ST,FORT WORTH,TX,76104,"1500 S Main St, Fort Worth, TX 76104",32.726819,-97.328127,TARRANT,8179213431,72
MEDICAL CITY PLANO,3901 W 15TH ST,PLANO,TX,75075,"3901 W 15th St, Plano, TX 75075",33.021675,-96.766206,COLLIN,9725191101,12
