zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,age_median,age_under_10,age_10_to_19,age_20s,age_30s,age_40s,age_50s,age_60s,age_70s,age_over_80,male,female,married,divorced,never_married,widowed,family_size,family_dual_income,income_household_median,income_household_under_5,income_household_5_to_10,income_household_10_to_15,income_household_15_to_20,income_household_20_to_25,income_household_25_to_35,income_household_35_to_50,income_household_50_to_75,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,housing_units,home_value,rent_median,rent_burden,education_less_highschool,education_highschool,education_some_college,education_bachelors,education_graduate,education_college_or_above,education_stem_degree,labor_force_participation,unemployment_rate,self_employed,farmer,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple,hispanic,disabled,poverty,limited_english,commute_time,health_uninsured,veteran,charitable_givers,cbsa_fips,cbsa_name,cbsa_metro,csa_fips,csa_name,metdiv_fips,metdiv_name
73301,30.22023,-97.74994,Austin,TX,Texas,False,78704.0,,,48453.0,Travis,"{""48453"": 100}",Travis,48453,False,False,America/Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12420.0,"Austin-Round Rock-Georgetown, TX",True,,,,
73344,30.17617,-97.72922,Austin,TX,Texas,False,78744.0,,,48453.0,Travis,"{""48453"": 100}",Travis,48453,False,False,America/Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12420.0,"Austin-Round Rock-Georgetown, TX",True,,,,
73960,36.49167,-101.79265,Texhoma,TX,Texas,True,,33.0,21.0,48421.0,Sherman,"{""48421"": 100}",Sherman,48421,False,False,America/Chicago,73.3,0.0,0.0,0.0,0.0,0.0,0.0,45.4,42.4,12.1,69.7,30.3,66.7,15.2,0.0,18.2,2.2,0.0,,0.0,0.0,28.6,0.0,23.8,0.0,14.3,0.0,0.0,33.3,0.0,33.3,21094.0,76.2,21.0,,,,18.2,24.2,0.0,57.6,0.0,57.6,63.2,24.2,0.0,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,0.0,0.0,,0.0,30.3,,,,False,,,,
75001,32.96015,-96.83808,Addison,TX,Texas,True,,16287.0,1675.8,48113.0,Dallas,"{""48113"": 100}",Dallas,48113,False,False,America/Chicago,33.3,9.5,5.4,25.3,23.3,13.8,10.0,8.0,3.2,1.3,49.1,50.9,36.6,19.2,41.8,2.4,2.72,57.8,73383.0,2.6,2.5,1.8,2.0,2.4,6.0,12.1,23.4,13.2,22.2,11.8,34.0,51671.0,15.9,8835.0,341496.0,1473.0,26.9,4.7,10.0,28.1,37.6,19.7,57.3,37.6,81.3,3.2,13.6,0.2,56.1,17.0,9.1,0.8,0.0,8.2,8.8,25.7,4.7,9.2,6.3,23.6,18.1,4.3,19.6,19100.0,"Dallas-Fort Worth-Arlington, TX",True,206.0,"Dallas-Fort Worth, TX-OK",19124.0,"Dallas-Plano-Irving, TX"
75002,33.08946,-96.60639,Allen,TX,Texas,True,,71102.0,730.5,48085.0,Collin,"{""48085"": 100}",Collin,48085,False,False,America/Chicago,39.1,13.0,16.4,11.6,10.4,16.8,15.6,10.0,4.5,1.7,50.9,49.1,58.8,9.2,27.8,4.2,3.56,60.4,110796.0,1.8,0.4,0.6,1.9,1.4,3.4,6.2,15.6,14.2,21.5,33.1,54.6,45315.0,79.7,22095.0,316314.0,1712.0,32.4,4.7,15.1,29.0,34.7,16.5,51.2,46.8,68.3,4.8,15.5,0.8,65.5,12.4,11.2,0.5,0.0,2.4,8.0,12.6,8.1,5.6,4.1,28.0,8.1,5.7,33.6,19100.0,"Dallas-Fort Worth-Arlington, TX",True,206.0,"Dallas-Fort Worth, TX-OK",19124.0,"Dallas-Plano-Irving, TX"
75006,32.96165,-96.89717,Carrollton,TX,Texas,True,,48104.0,1087.9,48113.0,Dallas,"{""48113"": 100}",Dallas,48113,False,False,America/Chicago,36.5,12.3,13.1,14.2,15.6,13.6,12.7,9.9,6.4,2.2,50.2,49.8,50.5,13.1,32.7,3.7,3.36,62.2,73088.0,1.2,1.6,1.9,1.9,3.5,9.1,12.1,19.9,16.8,17.9,14.1,32.0,38754.0,51.2,18161.0,245590.0,1333.0,27.6,18.0,24.5,25.1,22.8,9.7,32.5,40.4,73.8,4.1,15.3,0.2,70.1,9.4,7.5,0.2,0.0,4.9,7.9,48.8,6.8,7.4,12.2,23.7,22.2,4.5,16.4,19100.0,"Dallas-Fort Worth-Arlington, TX",True,206.0,"Dallas-Fort Worth, TX-OK",19124.0,"Dallas-Plano-Irving, TX"
75007,33.00498,-96.8959,Carrollton,TX,Texas,True,,54448.0,1765.6,48121.0,Denton,"{""48121"": 90.42, ""48113"": 8.52, ""48085"": 1.06}",Denton|Dallas|Collin,48121|48113|48085,False,False,America/Chicago,40.3,7.8,13.5,13.1,15.1,14.5,16.0,12.2,5.6,2.3,49.1,50.9,52.2,11.9,32.1,3.8,3.15,64.2,96051.0,1.7,1.1,2.4,1.1,2.3,5.2,8.5,15.1,15.2,22.0,25.4,47.4,41445.0,69.1,19938.0,284283.0,1383.0,29.5,9.1,19.1,29.4,30.0,12.4,42.4,43.0,72.4,3.0,16.2,0.3,61.1,8.0,15.7,0.7,0.1,3.3,11.2,28.7,8.9,6.3,5.7,25.9,13.5,4.5,24.4,19100.0,"Dallas-Fort Worth-Arlington, TX",True,206.0,"Dallas-Fort Worth, TX-OK",19124.0,"Dallas-Plano-Irving, TX"
75009,33.3384,-96.75185,Celina,TX,Texas,True,,24737.0,96.8,48085.0,Collin,"{""48085"": 93.14, ""48121"": 6.86}",Collin|Denton,48085|48121,False,False,America/Chicago,37.7,14.2,17.1,8.1,15.7,16.2,9.1,10.9,7.3,1.5,52.2,47.8,65.6,9.9,22.0,2.5,3.36,55.7,140933.0,0.6,0.0,0.1,6.1,0.3,5.3,2.7,8.9,10.3,23.1,42.6,65.7,53103.0,89.4,7649.0,365403.0,1605.0,35.1,4.3,16.0,33.7,36.5,9.6,46.1,32.9,67.3,5.4,18.5,3.4,78.4,6.2,4.4,0.9,0.1,1.9,8.2,14.6,8.7,6.6,1.3,33.8,10.4,7.3,39.7,19100.0,"Dallas-Fort Worth-Arlington, TX",True,206.0,"Dallas-Fort Worth, TX-OK",19124.0,"Dallas-Plano-Irving, TX"
75010,33.03058,-96.90148,Carrollton,TX,Texas,True,,30129.0,1707.6,48121.0,Denton,"{""48121"": 100}",Denton,48121,False,False,America/Chicago,38.1,9.9,12.6,13.1,18.0,16.7,15.6,8.5,3.1,2.7,46.5,53.5,54.9,11.0,31.5,2.6,3.08,67.6,91657.0,1.0,1.4,2.1,0.8,1.3,5.0,7.8,16.8,17.7,21.3,24.8,46.1,52025.0,50.3,11912.0,349073.0,1473.0,24.0,5.6,14.7,27.9,34.9,16.9,51.8,46.6,76.9,4.0,14.3,0.1,48.6,15.1,26.8,0.6,0.3,2.1,6.6,14.7,6.9,5.7,5.2,26.3,11.2,3.4,27.9,19100.0,"Dallas-Fort Worth-Arlington, TX",True,206.0,"Dallas-Fort Worth, TX-OK",19124.0,"Dallas-Plano-Irving, TX"
75011,32.95442,-96.88958,Carrollton,TX,Texas,False,75006.0,,,48113.0,Dallas,"{""48113"": 100}",Dallas,48113,False,False,America/Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19100.0,"Dallas-Fort Worth-Arlington, TX",True,206.0,"Dallas-Fort Worth, TX-OK",19124.0,"Dallas-Plano-Irving, TX"
75013,33.11463,-96.69413,Allen,TX,Texas,True,,44807.0,1150.0,48085.0,Collin,"{""48085"": 100}",Collin,48085,False,False,America/Chicago,37.7,13.6,15.7,10.6,14.2,18.1,14.9,6.8,3.9,2.1,50.3,49.7,64.3,9.3,23.6,2.8,3.34,68.3,145220.0,1.9,0.2,0.6,1.9,1.3,4.6,3.4,10.4,9.4,18.8,47.6,66.4,66749.0,67.0,15596.0,436143.0,1588.0,24.0,3.7,10.4,24.6,34.4,27.0,61.4,52.3,75.4,2.8,15.3,0.4,59.8,4.2,28.9,0.0,0.0,2.5,4.6,8.6,4.7,3.5,4.4,26.9,5.9,3.5,44.1,19100.0,"Dallas-Fort Worth-Arlington, TX",True,206.0,"Dallas-Fort Worth, TX-OK",19124.0,"Dallas-Plano-Irving, TX"
75014,32.84208,-96.97023,Irving,TX,Texas,False,75062.0,,,48113.0,Dallas,"{""48113"": 100}",Dallas,48113,False,False,America/Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19100.0,"Dallas-Fort Worth-Arlington, TX",True,206.0,"Dallas-Fort Worth, TX-OK",19124.0,"Dallas-Plano-Irving, TX"
